rep,singular_bool__P5_A_24x100,singular_bool__P5_B_24x400,singular_bool__P5_C_50x100,singular_bool__P5_D_50x400,singular_bool__P5_E_100x100,singular_bool__P5_F_100x400,slope_zero__P5_A_24x100,slope_zero__P5_B_24x400,slope_zero__P5_C_50x100,slope_zero__P5_D_50x400,slope_zero__P5_E_100x100,slope_zero__P5_F_100x400,model_zero__P5_A_24x100,model_zero__P5_B_24x400,model_zero__P5_C_50x100,model_zero__P5_D_50x400,model_zero__P5_E_100x100,model_zero__P5_F_100x400,item_zero__P5_A_24x100,item_zero__P5_B_24x400,item_zero__P5_C_50x100,item_zero__P5_D_50x400,item_zero__P5_E_100x100,item_zero__P5_F_100x400,corr_finite__P5_A_24x100,corr_finite__P5_B_24x400,corr_finite__P5_C_50x100,corr_finite__P5_D_50x400,corr_finite__P5_E_100x100,corr_finite__P5_F_100x400,corr_boundary__P5_A_24x100,corr_boundary__P5_B_24x400,corr_boundary__P5_C_50x100,corr_boundary__P5_D_50x400,corr_boundary__P5_E_100x100,corr_boundary__P5_F_100x400,model_slope_sd_num__P5_A_24x100,model_slope_sd_num__P5_B_24x400,model_slope_sd_num__P5_C_50x100,model_slope_sd_num__P5_D_50x400,model_slope_sd_num__P5_E_100x100,model_slope_sd_num__P5_F_100x400,model_intercept_sd_num__P5_A_24x100,model_intercept_sd_num__P5_B_24x400,model_intercept_sd_num__P5_C_50x100,model_intercept_sd_num__P5_D_50x400,model_intercept_sd_num__P5_E_100x100,model_intercept_sd_num__P5_F_100x400,item_intercept_sd_num__P5_A_24x100,item_intercept_sd_num__P5_B_24x400,item_intercept_sd_num__P5_C_50x100,item_intercept_sd_num__P5_D_50x400,item_intercept_sd_num__P5_E_100x100,item_intercept_sd_num__P5_F_100x400,model_intercept_slope_corr_num__P5_A_24x100,model_intercept_slope_corr_num__P5_B_24x400,model_intercept_slope_corr_num__P5_C_50x100,model_intercept_slope_corr_num__P5_D_50x400,model_intercept_slope_corr_num__P5_E_100x100,model_intercept_slope_corr_num__P5_F_100x400,estimate_num__P5_A_24x100,estimate_num__P5_B_24x400,estimate_num__P5_C_50x100,estimate_num__P5_D_50x400,estimate_num__P5_E_100x100,estimate_num__P5_F_100x400,bias_num__P5_A_24x100,bias_num__P5_B_24x400,bias_num__P5_C_50x100,bias_num__P5_D_50x400,bias_num__P5_E_100x100,bias_num__P5_F_100x400,se_num__P5_A_24x100,se_num__P5_B_24x400,se_num__P5_C_50x100,se_num__P5_D_50x400,se_num__P5_E_100x100,se_num__P5_F_100x400
11,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,9.5391e-09,0.0533,1.1218e-06,0.1037,1.0615e-06,6.8305e-09,0.0,0.0,9.443e-07,0.0296,1.0429e-07,0.0,0.0,0.0591,0.0,0.0,4.0666e-07,0.0,,,-1.0,-1.0,-0.9941,,-0.0109,0.1342,0.0163,0.1174,0.0437,0.115,-0.1109,0.0342,-0.0837,0.0174,-0.0563,0.015,0.0853,0.0438,0.059,0.0328,0.0417,0.0208
12,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,7.7044e-07,0.0821,2.8155e-06,0.0448,0.1334,0.0355,0.0,0.0,0.0,0.0,0.0,0.0108,0.175,0.0966,0.0,0.0737,0.1001,0.0745,,,,,,1.0,-0.006,0.0885,0.0081,0.043,0.0791,0.0794,-0.106,-0.0115,-0.0919,-0.057,-0.0209,-0.0206,0.0843,0.0456,0.0582,0.03,0.0436,0.0211
13,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,False,0.0939,0.0035,0.1389,0.0752,0.1242,0.0566,0.0,0.0904,0.0785,0.0,0.0414,0.0842,0.1594,0.0826,0.1615,0.0991,0.0602,0.0894,,1.0,-1.0,,-1.0,-0.801,0.2343,0.1313,0.142,0.0646,0.1035,0.0697,0.1343,0.0313,0.042,-0.0354,0.0035,-0.0303,0.0879,0.0427,0.0627,0.0315,0.0436,0.0216
14,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True,6.1117e-07,0.0331,0.0154,0.0261,4.8194e-08,0.0094,0.0,0.0989,0.0107,0.0755,0.0,0.0416,0.1395,0.1131,0.07,0.0146,3.5355e-07,0.0351,,-1.0,-1.0,-1.0,,-1.0,0.1862,0.0013,0.1247,0.0409,0.1388,0.0525,0.0862,-0.0987,0.0247,-0.0591,0.0388,-0.0475,0.0845,0.0428,0.0587,0.0296,0.0415,0.0208
15,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,0.2842,0.1428,0.29,0.1219,0.2239,0.0749,0.1658,0.0737,0.1488,0.1093,0.1067,0.0,0.0,0.0876,0.0,0.0,0.0,0.0,-0.7062,-0.1717,-1.0,-0.6893,-0.9756,,0.0489,0.0558,0.151,0.121,0.097,0.1181,-0.0511,-0.0442,0.051,0.021,-0.003,0.0181,0.103,0.0517,0.0717,0.0341,0.0472,0.0221
16,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,3.1253e-08,1.9148e-06,7.8518e-07,0.0013,4.0403e-06,0.0152,0.0,7.6343e-07,0.0,0.016,1.2604e-06,0.031,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,,1.0,-1.0,-1.0,0.1453,0.1064,0.1125,0.0999,0.077,0.0785,0.0453,0.0064,0.0125,-0.0001,-0.023,-0.0215,0.0864,0.0429,0.0593,0.0295,0.0417,0.0209
17,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,0.1839,0.0561,0.1459,9.2813e-08,0.0786,0.0009,0.0932,0.019,0.0,0.0,0.0531,0.0375,0.0,0.0892,1.1012e-07,0.0877,0.0,0.0549,-0.2398,-1.0,,,1.0,1.0,0.0734,0.159,0.1108,0.1357,0.1477,0.135,-0.0266,0.059,0.0108,0.0357,0.0477,0.035,0.0931,0.044,0.0626,0.0295,0.0424,0.0208
18,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,0.1133,0.1059,9.7098e-07,0.06,0.0,0.0532,0.0635,0.041,0.0,0.0,0.0,0.0448,0.0,0.0,0.0,0.0818,0.0519,0.0405,-1.0,-1.0,,,-1.0,-0.2863,0.2156,0.1059,0.1479,0.0954,0.128,0.103,0.1156,0.0059,0.0479,-0.0046,0.028,0.003,0.0886,0.0477,0.0588,0.0307,0.0416,0.0215
19,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,3.3315e-06,0.053,3.1707e-06,3.2265e-09,6.5583e-06,0.0025,0.0,0.0144,1.2235e-06,0.0,2.6513e-06,0.0341,0.0,0.0,6.7503e-09,0.0,0.0,0.0309,,1.0,-1.0,,-1.0,1.0,0.0225,0.0942,0.0523,0.1529,0.0195,0.1241,-0.0775,-0.0058,-0.0477,0.0529,-0.0805,0.0241,0.0851,0.0441,0.059,0.0295,0.0417,0.0209
20,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,4.8069e-08,1.345e-06,2.5996e-07,5.9351e-07,1.3491e-06,0.0093,0.0,0.0,0.0,0.0,1.0656e-06,0.0087,0.2254,0.1166,0.1476,0.0803,0.0688,0.0407,,,,,-1.0,-1.0,0.1799,0.1785,0.1523,0.1302,0.1195,0.1241,0.0799,0.0785,0.0523,0.0302,0.0195,0.0241,0.0858,0.0427,0.0592,0.0295,0.0417,0.0208
21,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,0.1113,0.027,0.1562,0.0198,0.0722,0.0767,0.0991,0.0586,0.157,0.0318,0.0749,0.0,0.1326,0.1129,0.1088,0.0741,0.0126,1.3346e-06,-1.0,-1.0,-1.0,1.0,-1.0,,0.0979,0.1102,0.0604,0.1072,0.1225,0.1005,-0.0021,0.0102,-0.0396,0.0072,0.0225,0.0005,0.0879,0.0429,0.0628,0.0295,0.0422,0.0222
22,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,0.2056,0.0764,0.0713,0.0009,0.009,0.0363,0.0,0.0,0.0,0.0168,0.0836,0.0,0.0,0.0169,5.1596e-08,0.0454,1.5882e-07,0.0354,,,,1.0,1.0,,0.1961,0.1756,0.1425,0.1471,0.1362,0.1422,0.0961,0.0756,0.0425,0.0471,0.0362,0.0422,0.096,0.0456,0.0598,0.0295,0.0416,0.0211
23,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,9.4692e-07,0.1176,0.1698,0.069,0.1327,0.05,0.0,0.1179,0.1242,0.0814,0.0646,0.0672,0.0295,0.1216,0.0152,0.0618,0.0395,0.0362,,-1.0,-1.0,-1.0,-1.0,-1.0,0.1003,0.1315,0.1176,0.1132,0.092,0.1015,0.0003,0.0315,0.0176,0.0132,-0.008,0.0015,0.0859,0.0491,0.0639,0.0311,0.0439,0.0214
24,True,True,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,0.1658,0.0954,1.4747e-08,0.0704,4.8597e-07,0.0174,0.0896,0.0417,0.0,0.0,0.0,0.065,0.0,0.1005,0.0,0.0,4.5878e-09,0.0,-1.0,-1.0,,,,-1.0,0.021,0.0506,0.0687,0.069,0.1117,0.1152,-0.079,-0.0494,-0.0313,-0.031,0.0117,0.0152,0.0913,0.0467,0.0587,0.031,0.0416,0.0209
25,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,0.2685,0.0052,0.2204,1.3649e-06,0.1886,0.0142,0.1303,0.0061,0.0985,1.9507e-06,0.1174,0.0265,0.0,0.0328,0.075,0.0301,0.0537,0.0589,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1658,0.1579,0.1703,0.1096,0.1556,0.1108,0.0658,0.0579,0.0703,0.0096,0.0556,0.0108,0.1012,0.0426,0.067,0.0296,0.0459,0.0209
26,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,0.2173,3.7105e-06,0.1981,0.0,0.1728,0.0712,0.0,1.7691e-06,0.062,3.8647e-06,0.0035,0.0208,0.0,0.035,0.0436,0.0628,0.0,0.0217,,-1.0,-1.0,-1.0,-0.9993,-1.0,0.0976,0.1256,0.1136,0.1181,0.1539,0.1035,-0.0024,0.0256,0.0136,0.0181,0.0539,0.0035,0.0956,0.0425,0.065,0.0294,0.045,0.0219
27,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,0.0492,0.092,0.1455,0.0822,0.0643,4.2595e-07,0.0544,0.0319,0.0838,0.0573,0.0406,0.0,0.1275,0.0,0.159,0.0528,0.0702,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.1842,0.1767,0.1296,0.1462,0.0555,0.0848,0.0842,0.0767,0.0296,0.0462,-0.0445,-0.0152,0.0857,0.0465,0.0625,0.0316,0.0421,0.0208
28,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,0.3108,0.0426,0.2565,0.055,0.2122,0.0477,0.25,0.0262,0.1912,0.0169,0.13,0.0041,0.0604,0.0626,0.0942,0.123,0.0301,0.0232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0469,0.1246,0.1569,0.1278,0.1468,0.108,-0.1469,0.0246,0.0569,0.0278,0.0468,0.008,0.1063,0.0435,0.0693,0.0305,0.047,0.0214
29,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,0.0254,0.0079,0.0277,0.0409,0.004,0.056,0.181,0.0603,0.1067,0.0453,0.0732,0.0,0.0826,5.169e-07,0.0,0.0,0.064,0.0774,-1.0,1.0,-1.0,-1.0,1.0,,0.028,0.0701,0.0629,0.0634,0.1233,0.0821,-0.072,-0.0299,-0.0371,-0.0366,0.0233,-0.0179,0.0849,0.0424,0.0589,0.0299,0.042,0.0216
30,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,0.2189,3.8892e-07,0.148,0.0155,0.1453,0.0504,0.116,1.7291e-07,0.1086,0.0,0.0439,0.0,0.0874,0.1476,0.1205,0.1111,0.0,0.0638,-1.0,-1.0,-1.0,,-1.0,,-0.0687,0.0727,0.0597,0.1352,0.1142,0.1283,-0.1687,-0.0273,-0.0403,0.0352,0.0142,0.0283,0.0968,0.0427,0.0628,0.0296,0.0442,0.0214
