rep,cell,true_effect,true_rho,dataset_sha256,M1_evaluable,M2_evaluable,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1,M1_rejected,M2_rejected,M1_covered,M2_covered,M1_singular,M2_singular
13,P7_D_EFFECT_RHO30,0.1,0.3,b32d6e6873033c45d22f2760d26ba363926207ea6bd450c21b90408550a68260,True,True,0.0006000000000000033,-0.0008000000000000021,1.0,1.0,1.0,1.0,False,True
14,P7_A_NULL_RHO0,0.0,0.0,82185012f2df0c9c08f322c9cf9adcfe7efeaa7514dc2ffe56df22dab8b7fc08,True,True,0.0,-9.99999999999994e-05,1.0,1.0,0.0,0.0,True,True
14,P7_B_NULL_RHO30,0.0,0.3,a1d90b3b9b01a15a80bc0c1caae673ba481c61eac2cfa1f8bba8873b7801ca6b,True,True,9.999999999999593e-05,0.0,1.0,1.0,0.0,0.0,True,True
14,P7_C_EFFECT_RHO0,0.1,0.0,b0da820c3c87de1d6f621da3d665f3345e2e28510f5450e7cdbfd9f1e3945509,True,True,0.00010000000000000286,0.0,1.0,1.0,0.0,0.0,True,True
14,P7_D_EFFECT_RHO30,0.1,0.3,96ae3871b5972d52604c3e0fd22dd7732273245246a3721d9d7808abc05a0f14,True,True,0.00010000000000000286,0.0,1.0,1.0,0.0,0.0,True,True
15,P7_A_NULL_RHO0,0.0,0.0,95b9cb5016c3140a20196df905b02f88e5cd50da9a5b84f2bf0f7b52d9cf50e4,True,True,-9.99999999999994e-05,-0.0001999999999999988,0.0,0.0,1.0,1.0,True,True
15,P7_B_NULL_RHO30,0.0,0.3,53890195e5e4eaaca20eed33acef312b4222b24f6cf2a0baf6ba1ee37375386f,True,True,-0.00020000000000000052,-0.00020000000000000226,0.0,0.0,1.0,1.0,True,True
15,P7_C_EFFECT_RHO0,0.1,0.0,5305009e5f0a47352686af651a1c45325b1ee83f9d7c41c1903b30f7fdfa481c,True,True,-0.00010000000000000286,-0.00020000000000000226,1.0,1.0,1.0,1.0,True,True
15,P7_D_EFFECT_RHO30,0.1,0.3,6730c8a523189008b9a2574f70616c7b2ec0c34741f5a2d8b02ee8b693665b83,True,True,-0.00010000000000000286,-0.00030000000000000165,1.0,1.0,1.0,1.0,True,True
16,P7_A_NULL_RHO0,0.0,0.0,cf23f615ad61ba03a591886d9c6a58b6306d096dfe61db8e99b8874eedf081f5,True,True,9.99999999999994e-05,0.0,0.0,0.0,1.0,1.0,True,True
16,P7_B_NULL_RHO30,0.0,0.3,7418a5f3534d5c800a23c176bc741c8a3d2c2b41b268ca4b3764d014ea417ba8,True,True,0.00010000000000000286,0.0,0.0,0.0,1.0,1.0,True,True
16,P7_C_EFFECT_RHO0,0.1,0.0,364e7f96f8d2c617bc6fd1f56e019607ce6d572d69fff1ccc3fea6819549aad8,True,True,9.999999999998899e-05,-9.99999999999994e-05,1.0,1.0,1.0,1.0,True,True
16,P7_D_EFFECT_RHO30,0.1,0.3,e711b41d15775a46cbf7ce5a4b6d71421840c3211863f97afa8e7b45f15620d7,True,True,0.00010000000000000286,-9.99999999999994e-05,1.0,1.0,1.0,1.0,True,True
17,P7_A_NULL_RHO0,0.0,0.0,adb5fa9ab551ff858907ba201cd8491088526abdb6a9b9e1909f38e322386e00,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
17,P7_B_NULL_RHO30,0.0,0.3,92d369fb98cabe347731daefde88f0840b1185d1ca524121cf96eaf7ffc226fc,True,True,-0.00010000000000000286,0.0,0.0,0.0,1.0,1.0,True,True
17,P7_C_EFFECT_RHO0,0.1,0.0,59988a003ff030c4e0d24e62d84be6a1e36eb2b37303c673f2c47156125cab66,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
17,P7_D_EFFECT_RHO30,0.1,0.3,1651fc94cdf94f2bcbbb81aa0f2ace3ba727bc8ccc0e791f066f4260fb4a1fbc,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
18,P7_A_NULL_RHO0,0.0,0.0,7ddf16211aab0f5966014dc9bed018377b9d472a5549a6f9caee256e7a9e2564,True,True,9.99999999999994e-05,-0.0001999999999999988,0.0,0.0,1.0,1.0,False,False
18,P7_B_NULL_RHO30,0.0,0.3,6393c2dbf4ff46b277f8629f2633a834bea25b4ed7241da146f99852810370cf,True,True,0.00010000000000000026,-9.99999999999994e-05,0.0,0.0,1.0,1.0,False,False
18,P7_C_EFFECT_RHO0,0.1,0.0,7d1a9b74f4a724aed54ea34779a76e9532111439791ae9bb871156ca4bbef75a,True,True,9.999999999998899e-05,-0.0002999999999999982,1.0,1.0,1.0,1.0,False,False
18,P7_D_EFFECT_RHO30,0.1,0.3,9d0ae6bd0e09301cd5c17f43b56ed9d7e8033dc981b36e776e96572ebad81817,True,True,0.00010000000000000286,-0.0001999999999999988,1.0,1.0,1.0,1.0,False,False
19,P7_A_NULL_RHO0,0.0,0.0,390fb28dabc8f4886658a35273991f40eff5e4cf49815cc12203dd88eb650baa,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
19,P7_B_NULL_RHO30,0.0,0.3,2209527cd5c8457d5226598047d72cca741455c8f3a170b8fd6fbdeff73d5b7f,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
19,P7_C_EFFECT_RHO0,0.1,0.0,1d9f2e69e4de196cbdc54a0d90f123d36e286ce2cdc5c2b0cf2149f24e4b9349,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
19,P7_D_EFFECT_RHO30,0.1,0.3,46c880bf73e8c5e0432c0b76a4983ef3d952dfd787bd5932f726c5132f461ef1,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
20,P7_A_NULL_RHO0,0.0,0.0,91b714b4ef8d02066631e03d0e7455984729dd8ee0b205f998063d37446c71d9,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
20,P7_B_NULL_RHO30,0.0,0.3,7e304adab30e9d84ade6cd3527d9c17f65987b527dc74b58e903eec06f0312ca,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
20,P7_C_EFFECT_RHO0,0.1,0.0,ff49b04e75e25ff4a23f61af6c2a78e4f89151b9b365f4f50cb2bf93a605bb47,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
20,P7_D_EFFECT_RHO30,0.1,0.3,baaaad6f56c607373b241068d37930b63a112f9d0aadb9749b5c6df3e038fb4e,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
21,P7_A_NULL_RHO0,0.0,0.0,8ce6f12e9566c7a2619ad414dc0ccdd4c7cf2379f9c4836df38dd711eb988f1d,True,True,0.0,0.00030000000000000165,0.0,0.0,1.0,1.0,True,True
21,P7_B_NULL_RHO30,0.0,0.3,6c75dd9b807afabb45c40ace39e541f0de9cc59164b9cc4a93c8a4158e8a09a5,True,True,-9.99999999999994e-05,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,True
21,P7_C_EFFECT_RHO0,0.1,0.0,eb34ae643f2ba62dbaee5a837628d87d9e58f79fe5bd56a7114f12e385962338,True,True,-0.00010000000000000286,-0.00020000000000000226,1.0,1.0,1.0,1.0,True,True
21,P7_D_EFFECT_RHO30,0.1,0.3,70ab8e2c249cb19be0f3ca6ef4bedab89008123a726ffb8fd55a2fe726e8913f,True,True,-0.00010000000000000286,-0.00020000000000000226,1.0,1.0,1.0,1.0,True,True
22,P7_A_NULL_RHO0,0.0,0.0,cf2d301d305595e8b0bf59085f740d15aa0a1b30c68890ba82b30185c11612eb,True,True,-0.00010000000000000286,0.0,1.0,1.0,0.0,0.0,True,True
22,P7_B_NULL_RHO30,0.0,0.3,440ae05bc98ce1373800d55638451902df9e930415ef46a509011c2517a5c44e,True,True,-0.00010000000000000286,0.0,1.0,1.0,0.0,0.0,True,True
22,P7_C_EFFECT_RHO0,0.1,0.0,5b56a821dd59aa584e57ca0c73a7538b059bd740cb5b8c3e1beb9db8d65c43e2,True,True,-0.00020000000000000573,-0.00030000000000000165,1.0,1.0,0.0,0.0,True,True
22,P7_D_EFFECT_RHO30,0.1,0.3,9740fd7161bddca26827b5340dc13cf36bef2dcf27729e90e6798d269adf623e,True,True,-0.00020000000000000573,-0.00030000000000000165,1.0,1.0,0.0,0.0,True,True
23,P7_A_NULL_RHO0,0.0,0.0,e82cb744df4183c3615149bfadfa55dfdff2e5aed5f2c5984d3cc0a33e66c955,True,True,0.0004999999999999996,-0.0006999999999999992,0.0,0.0,1.0,1.0,True,True
23,P7_B_NULL_RHO30,0.0,0.3,238a6f071b651ed5454042a7926eb494e3d2b9db0c370ad8fde77e75b4b6cb7b,True,True,0.0004999999999999998,-0.0005999999999999998,0.0,0.0,1.0,1.0,True,True
23,P7_C_EFFECT_RHO0,0.1,0.0,f8550f8c63e27005000fc1c0bc45cce1b84af3f3eb76f7dfb5d624363fac9f13,True,True,0.0006000000000000033,-0.0006999999999999992,1.0,1.0,1.0,1.0,True,True
23,P7_D_EFFECT_RHO30,0.1,0.3,356896fe298c443276b3844a215bd84f903047a96e9184fdc1e8dac551895537,True,True,0.0004999999999999866,-0.0005000000000000004,1.0,1.0,1.0,1.0,True,True
24,P7_A_NULL_RHO0,0.0,0.0,31f22ee834da2348ee584cb0c1ab81cd478e5f6611737eb25367c337b9ce30de,True,True,0.00040000000000000105,-0.0001999999999999988,0.0,0.0,1.0,1.0,True,True
24,P7_B_NULL_RHO30,0.0,0.3,ad32daaf92586061e2de57fa581ad16a0a43525266c7e667c97d0bf04c2e0830,True,True,0.00040000000000000105,-0.0001999999999999988,0.0,0.0,1.0,1.0,True,True
24,P7_C_EFFECT_RHO0,0.1,0.0,70ff47d011ee310735f4869f8924bc55fb9eb4a74c5836b6b3da8a6b102268ab,True,True,0.0002999999999999947,-0.00010000000000000286,1.0,1.0,1.0,1.0,True,True
24,P7_D_EFFECT_RHO30,0.1,0.3,27f771cb1c813d2824a014a06fa4c8b299c8e4f28c9674f999a91b45334adfe6,True,True,0.00020000000000000573,0.0,1.0,1.0,1.0,1.0,True,True
25,P7_A_NULL_RHO0,0.0,0.0,75e7158a970b7e3f30a4b7f8e5fdcc37066258fd738ff79cd10fd20d12cc61f7,True,True,0.00010000000000000113,0.0,0.0,0.0,1.0,1.0,True,True
25,P7_B_NULL_RHO30,0.0,0.3,0fdd4d1a1acf174975271556255fbe92e57f0e7a747018ff0e8f57424cfbf087,True,True,0.00010000000000000113,0.0,0.0,0.0,1.0,1.0,True,True
25,P7_C_EFFECT_RHO0,0.1,0.0,9769c2d4c7ccebb2aa4ef6f01d6e9b12388250bbbf4f9005638e06893299ba17,True,True,0.00010000000000000286,0.0,1.0,1.0,1.0,1.0,True,True
25,P7_D_EFFECT_RHO30,0.1,0.3,fd84f79db3ef0d56c985ddeede08ee0b71001a64e438cbfddccee8c82bd4daf5,True,True,0.00010000000000000286,0.0,1.0,1.0,1.0,1.0,True,True
26,P7_A_NULL_RHO0,0.0,0.0,a71b949a45f25eb260bdf6f3af0349f20c0cc99233ec09c304e731ccf84e59ea,True,True,0.0,-0.0007999999999999986,0.0,0.0,1.0,1.0,True,True
26,P7_B_NULL_RHO30,0.0,0.3,d76530ef2486cefaac28ea9d33b80ad171c00743c4982238e975df4d6f83c5ee,True,True,9.999999999999983e-05,-0.0005999999999999998,0.0,0.0,1.0,1.0,True,True
26,P7_C_EFFECT_RHO0,0.1,0.0,e897ec48dadde9fd706af347300e6020455502c2ff8bd464d5485d3f11f19db1,True,True,0.0,-0.0006999999999999992,1.0,1.0,1.0,1.0,True,True
26,P7_D_EFFECT_RHO30,0.1,0.3,2f34283f74f0d3b48ce996e54965ef6e214f089274b544b8bcd73cb076e684c1,True,True,0.0,-0.0006999999999999992,1.0,1.0,1.0,1.0,True,True
27,P7_A_NULL_RHO0,0.0,0.0,124109f7934e81d3ec36fa1dc70447665b958ad8a58e61de3a6766a4a30314d7,True,True,0.00040000000000000105,-0.0016000000000000007,0.0,0.0,1.0,1.0,True,True
27,P7_B_NULL_RHO30,0.0,0.3,043dd527473b036b2e687991e17fab5ee31e165781c4b3da19ae276137bc00a8,True,True,0.00040000000000000105,-0.0016000000000000007,0.0,0.0,1.0,1.0,True,True
27,P7_C_EFFECT_RHO0,0.1,0.0,faf961ff06827c412a8c6b45c4109f58e8b2d9e9553cf2a781c06e826f0ad2e2,True,True,0.0003999999999999976,-0.0017000000000000001,1.0,1.0,1.0,1.0,True,True
27,P7_D_EFFECT_RHO30,0.1,0.3,a4ddad12368cd130fb3a267f24d95aad53dce6c2eb99b077f275daece10710aa,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
28,P7_A_NULL_RHO0,0.0,0.0,dba6907cda5509211ffb6518f14693726e4dc26c1682cf3169c14fd0c9b944e0,True,True,0.0,-0.0002999999999999982,0.0,0.0,1.0,1.0,True,True
28,P7_B_NULL_RHO30,0.0,0.3,71e8648558b50945468f2a9c03242d3be97f128d6542729e43a63ae313c8a13e,True,True,0.0,0.0,0.0,0.0,1.0,1.0,True,True
28,P7_C_EFFECT_RHO0,0.1,0.0,de0f70ce79e491a6369d631d3a57bd224769756189a6ba7fce36d4171af6ef4b,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,True
28,P7_D_EFFECT_RHO30,0.1,0.3,4e4677d6d992a42d214c36ef54f4737f71db91b819ad1535c12b399956301e33,True,True,0.0,-9.99999999999994e-05,1.0,1.0,1.0,1.0,False,True
29,P7_A_NULL_RHO0,0.0,0.0,2dbed3bb18bd35c77bcde46f10d1502ace95353e72c94a362a99721fd07584e1,True,True,-0.0001999999999999988,-0.00040000000000000105,0.0,0.0,1.0,1.0,True,False
29,P7_B_NULL_RHO30,0.0,0.3,a886ac2efbc5dcc7db0e56a65b6eca36bbd8e8159a09d83e41e1d654dcba6654,True,True,9.99999999999994e-05,-0.0001999999999999988,0.0,0.0,1.0,1.0,False,False
29,P7_C_EFFECT_RHO0,0.1,0.0,c739acb1841a30eb1765b93dd6d3a2336aec9409e27e77bfc9cc4e12ae54df63,True,True,-0.00019999999999999185,-0.0003999999999999976,1.0,1.0,1.0,1.0,True,False
29,P7_D_EFFECT_RHO30,0.1,0.3,d78673386602657c2d586fca62044e1ab3c189d2354de658d7507d05383b1b66,True,True,-0.00020000000000000573,-0.00040000000000000105,1.0,1.0,1.0,1.0,True,False
30,P7_A_NULL_RHO0,0.0,0.0,6797ce8d6a6b09ff2aafd43a5386d2e16f775e56b8079340db25f9f0f209f7e9,True,True,0.0,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,False
30,P7_B_NULL_RHO30,0.0,0.3,2257c1d394ca7a696bc5790a1e4925549e2a56b87214f6269d9b84a5e7ab5787,True,True,0.0,-9.99999999999994e-05,0.0,0.0,1.0,1.0,True,False
30,P7_C_EFFECT_RHO0,0.1,0.0,bd20aac57c5206426122fb285d6057050170dc141abaa61500cd8de51be5ee46,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,False
30,P7_D_EFFECT_RHO30,0.1,0.3,9b374ebf33569e6a82dd74150fc7905e350a46637459870826f9df0608248d6d,True,True,0.0,0.0,1.0,1.0,1.0,1.0,True,False
31,P7_A_NULL_RHO0,0.0,0.0,7e77b5cee7919711497876fff846cfa24f1d59d34a5384b567eeb8f0dcca815e,True,True,9.99999999999994e-05,0.0,0.0,0.0,1.0,1.0,True,True
31,P7_B_NULL_RHO30,0.0,0.3,c2a9ebf6394cad23b4261a8acf339920a8a616a775461360642f8762c3209936,True,True,9.99999999999994e-05,0.0,0.0,0.0,1.0,1.0,True,True
31,P7_C_EFFECT_RHO0,0.1,0.0,98c4efbce0aed6e3bd0a99aed73b7b94fd6940b10af9edf6a21361ebf225f645,True,True,-0.00020000000000000573,-0.0002999999999999982,1.0,1.0,1.0,1.0,True,False
31,P7_D_EFFECT_RHO30,0.1,0.3,0f4b8050965f870a983fd238f693eeb6bc5cfb4f78b355a10273db805fe60a40,True,True,0.00010000000000000286,-0.00030000000000000165,1.0,1.0,1.0,1.0,False,False
32,P7_A_NULL_RHO0,0.0,0.0,b667ea6904e379f418183259f0c8a847107d6f3106c517348f9ab0121508e42d,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,True
32,P7_B_NULL_RHO30,0.0,0.3,3d930b4dae3dd118de87626d0fbaa1f31396270629d508e0111f8c624756fc19,True,True,0.0,0.0,1.0,1.0,0.0,0.0,True,False
32,P7_C_EFFECT_RHO0,0.1,0.0,5dac96454a7ab40fefff775cdd236946a9052ee61ffbceaefec9c72ab9eb535c,True,True,-9.999999999998899e-05,-9.99999999999994e-05,1.0,1.0,0.0,0.0,True,False
