rep,seed,cell,fit_spec,true_effect,true_rho,n_models,n_items,n_obs,dataset_sha256,min_model_n_self,max_model_n_self,overall_self_prop,rho_model,x_mean,x_sd,context_item_level_shared,phase6_high_assignment_geometry,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,evaluable,rejected,covered,singular_bool
2,92622002,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,c3dc7caca82f181fd55dccb80fb8b042827df87181da20e9e4c00ef47d7adbc8,200,200,0.5,0.0,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.1109,0.0223,6.9009e-07,0.0671,0.1547,True,0.010899999999999993,True,,0.0349,0.0817,-1.0,0.0936,3.5508e-14,"[0.0936, 0.0349, -0.0817, 4.7981e-07]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,1.0,1.0,True
2,92622002,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,c3dc7caca82f181fd55dccb80fb8b042827df87181da20e9e4c00ef47d7adbc8,200,200,0.5,0.0,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.1108,0.0208,9.949e-08,0.07,0.1515,True,0.01079999999999999,True,,0.0,0.0,,0.0932,0.0,"[0.0932, 0, 0]","[0, 0, 0]",model_slope_sd_zero,,True,1.0,1.0,True
2,92622002,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,d9d28ce983668b355ab524cb45629f3b696799c851f40698a8503946f61eb73f,200,200,0.5,0.3,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.1096,0.0225,1.1343e-06,0.0655,0.1538,True,0.009599999999999997,True,,0.0355,0.0867,-1.0,0.0937,2.1684000000000002e-19,"[0.0937, 0.0355, -0.0867, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,1.0,1.0,True
2,92622002,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,d9d28ce983668b355ab524cb45629f3b696799c851f40698a8503946f61eb73f,200,200,0.5,0.3,-6.750155989720952e-16,0.8668775506094138,True,True,True,True,[],0.1095,0.0209,1.654e-07,0.0685,0.1505,True,0.009499999999999995,True,,0.0,0.0236,,0.0933,0.0,"[0.0933, 0, 0.0236]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,1.0,True
3,92622003,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,a37d38b8930f64506cb6954be2aac745174bd9be7403021c3590f61d1df8807d,200,200,0.5,0.0,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.0239,0.0215,0.2655,-0.0182,0.0661,False,0.0239,True,,0.0507,0.0592,-0.027,0.0001,0.0026,"[0.0001, 0.0507, -0.0016, 0.0592]","[0, 0, '-Inf', 0]",non_singular,,True,0.0,1.0,False
3,92622003,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,a37d38b8930f64506cb6954be2aac745174bd9be7403021c3590f61d1df8807d,200,200,0.5,0.0,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.0239,0.0215,0.2648,-0.0181,0.066,False,0.0239,True,,0.0502,0.0583,,0.0001,0.0025,"[0.0001, 0.0502, 0.0583]","[0, 0, 0]",non_singular,,True,0.0,1.0,False
3,92622003,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,d9889122bcd96f6706b326ee961e7ae5c147a727b64bfec5b006e929b7d444cd,200,200,0.5,0.3,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.0244,0.0216,0.2583,-0.0179,0.0668,False,0.0244,True,,0.0507,0.0629,-0.02,0.0138,0.0026,"[0.0138, 0.0507, -0.0013, 0.0629]","[0, 0, '-Inf', 0]",non_singular,,True,0.0,1.0,False
3,92622003,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,d9889122bcd96f6706b326ee961e7ae5c147a727b64bfec5b006e929b7d444cd,200,200,0.5,0.3,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.0244,0.0216,0.2577,-0.0179,0.0667,False,0.0244,True,,0.0503,0.0623,,0.0138,0.0025,"[0.0138, 0.0503, 0.0623]","[0, 0, 0]",non_singular,,True,0.0,1.0,False
3,92622003,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,7b352e94740f5c41ab0e6d1636ab7d8e193b00b520a2ebb14e4844ff09529985,200,200,0.5,0.0,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.1291,0.0225,9.0558e-09,0.0851,0.1732,True,0.029099999999999987,True,,0.0503,0.0845,0.0628,0.0256,0.0025,"[0.0256, 0.0503, 0.0053, 0.0843]","[0, 0, '-Inf', 0]",non_singular,,True,1.0,1.0,False
3,92622003,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,7b352e94740f5c41ab0e6d1636ab7d8e193b00b520a2ebb14e4844ff09529985,200,200,0.5,0.0,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.1291,0.0225,1.0233e-08,0.0849,0.1733,True,0.029099999999999987,True,,0.0519,0.0865,,0.0255,0.0027,"[0.0255, 0.0519, 0.0865]","[0, 0, 0]",non_singular,,True,1.0,1.0,False
3,92622003,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,d29c574df5ab8cc7aca10fb24be4c9977cb83b98f6c2b05fb0a64d9a41c1d329,200,200,0.5,0.3,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.1294,0.0225,9.1603e-09,0.0852,0.1735,True,0.02939999999999998,True,,0.0503,0.0858,0.0675,0.0215,0.0025,"[0.0215, 0.0503, 0.0058, 0.0856]","[0, 0, '-Inf', 0]",non_singular,,True,1.0,1.0,False
3,92622003,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,d29c574df5ab8cc7aca10fb24be4c9977cb83b98f6c2b05fb0a64d9a41c1d329,200,200,0.5,0.3,-1.3500311979441904e-15,0.8079676926489203,True,True,True,False,[],0.1293,0.0226,1.046e-08,0.0851,0.1736,True,0.029299999999999993,True,,0.052,0.0879,,0.0215,0.0027,"[0.0215, 0.052, 0.0879]","[0, 0, 0]",non_singular,,True,1.0,1.0,False
4,92622004,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,b2f3938c36221f3a4e72e8b9e004377287a63b4237a3975d639926ae80567807,200,200,0.5,0.0,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],-0.0089,0.0223,0.6888,-0.0527,0.0348,False,-0.0089,True,,0.0038,0.084,0.9999,0.0,3.7638e-09,"[0, 0.0038, 0.084, 0.0014]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0,1.0,True
4,92622004,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,b2f3938c36221f3a4e72e8b9e004377287a63b4237a3975d639926ae80567807,200,200,0.5,0.0,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],-0.009,0.0223,0.686,-0.0528,0.0347,False,-0.009,True,,0.026,0.0839,,0.0,0.0007,"[0, 0.026, 0.0839]","[0, 0, 0]",item_intercept_sd_zero,,True,0.0,1.0,True
4,92622004,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,6883b2c6f94eacab283545d3f375ce4d8b3afe2f32e8eaf62d717e1ffe4b2035,200,200,0.5,0.3,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],-0.0086,0.0227,0.7037,-0.0531,0.0358,False,-0.0086,True,,0.0361,0.0931,-0.3018,2.6249e-07,0.0012,"[2.6249e-07, 0.0361, -0.0281, 0.0888]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,0.0,1.0,True
4,92622004,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,6883b2c6f94eacab283545d3f375ce4d8b3afe2f32e8eaf62d717e1ffe4b2035,200,200,0.5,0.3,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],-0.0086,0.0224,0.702,-0.0524,0.0353,False,-0.0086,True,,0.0262,0.0854,,0.0,0.0007,"[0, 0.0262, 0.0854]","[0, 0, 0]",item_intercept_sd_zero,,True,0.0,1.0,True
4,92622004,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,1fecd3fa440cd1cf8c0b57ec43979cd6f467b32b9bd35f5f330eb6823637c542,200,200,0.5,0.0,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],0.0938,0.0226,0.0,0.0495,0.138,True,-0.006200000000000011,True,,0.0,0.0866,,0.0,0.0,"[0, 0, -0.0779, 0.0379]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,1.0,True
4,92622004,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,1fecd3fa440cd1cf8c0b57ec43979cd6f467b32b9bd35f5f330eb6823637c542,200,200,0.5,0.0,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],0.0936,0.0223,0.0,0.0499,0.1373,True,-0.006400000000000003,True,,0.0339,0.0797,,0.0,0.0012,"[0, 0.0339, 0.0797]","[0, 0, 0]",item_intercept_sd_zero,,True,1.0,1.0,True
4,92622004,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,a6aa9b5df6f6ef69a284acee8a0ba3428bc278904eb5c0cf54f334f2aaa79a58,200,200,0.5,0.3,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],0.0924,0.0224,0.0,0.0485,0.1363,True,-0.0076000000000000095,True,,0.0356,0.0823,0.0234,0.0,0.0013,"[0, 0.0356, 0.0019, 0.0823]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,1.0,1.0,True
4,92622004,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,a6aa9b5df6f6ef69a284acee8a0ba3428bc278904eb5c0cf54f334f2aaa79a58,200,200,0.5,0.3,-1.0835776720341528e-15,0.768780966922302,True,True,True,True,[],0.0924,0.0224,0.0,0.0484,0.1363,True,-0.0076000000000000095,True,,0.0362,0.0828,,0.0,0.0013,"[0, 0.0362, 0.0828]","[0, 0, 0]",item_intercept_sd_zero,,True,1.0,1.0,True
5,92622005,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,02e3816823939819ae24a8a950c18d342e17e0c2bebafa504f07f8ae3acc00ea,200,200,0.5,0.0,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],-0.005,0.0211,0.8118,-0.0465,0.0364,False,-0.005,True,,0.0,0.0443,,0.0687,0.0,"[0.0687, 0, -0.0442, 0.0016]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.0,1.0,True
5,92622005,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,02e3816823939819ae24a8a950c18d342e17e0c2bebafa504f07f8ae3acc00ea,200,200,0.5,0.0,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],-0.0053,0.0207,0.7994,-0.0458,0.0352,False,-0.0053,True,,0.0449,0.0,,0.0689,2.4743e-10,"[0.0689, 0.0449, 0]","[0, 0, 0]",model_slope_sd_zero,,True,0.0,1.0,True
5,92622005,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,437ae0c7ff36b3b239b114f5590868a24e4303149213e2a534ae9279e58f18be,200,200,0.5,0.3,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],-0.005,0.0212,0.8124,-0.0465,0.0365,False,-0.005,True,,0.0,0.0456,,0.0674,0.0,"[0.0674, 0, -0.0456, 0.0022]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.0,1.0,True
5,92622005,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,437ae0c7ff36b3b239b114f5590868a24e4303149213e2a534ae9279e58f18be,200,200,0.5,0.3,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],-0.0053,0.0207,0.7991,-0.0458,0.0352,False,-0.0053,True,,0.0462,0.0,,0.0676,0.0,"[0.0676, 0.0462, 0]","[0, 0, 0]",model_slope_sd_zero,,True,0.0,1.0,True
5,92622005,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,76ad33d40819a82b37834d3743fb0ff99b66dd8f7ce9f2daf53d5df48e02f4d5,200,200,0.5,0.0,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],0.0952,0.0215,9.3842e-06,0.0531,0.1374,True,-0.004799999999999999,True,,0.0,0.0542,,0.0686,0.0,"[0.0686, 0, -0.0542, 0.0004]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,1.0,True
5,92622005,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,76ad33d40819a82b37834d3743fb0ff99b66dd8f7ce9f2daf53d5df48e02f4d5,200,200,0.5,0.0,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],0.0949,0.0208,5.0597e-06,0.0541,0.1357,True,-0.005100000000000007,True,,0.052,0.0,,0.0688,5.8041e-10,"[0.0688, 0.052, 0]","[0, 0, 0]",model_slope_sd_zero,,True,1.0,1.0,True
5,92622005,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,05ebf84966af94d8612d63c5b8379e2dfe40b56219d224b061e6a336f740d228,200,200,0.5,0.3,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],0.0957,0.0216,9.188e-06,0.0534,0.138,True,-0.004300000000000012,True,,0.0,0.0575,,0.0686,0.0,"[0.0686, 0, -0.0575, 0.0003]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,1.0,True
5,92622005,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,05ebf84966af94d8612d63c5b8379e2dfe40b56219d224b061e6a336f740d228,200,200,0.5,0.3,-4.796163466380678e-16,0.9310725645711716,True,True,True,True,[],0.0953,0.0208,4.5702e-06,0.0546,0.1361,True,-0.00470000000000001,True,,0.0546,0.0,,0.0689,0.0,"[0.0689, 0.0546, 0]","[0, 0, 0]",model_slope_sd_zero,,True,1.0,1.0,True
6,92622006,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,bfe03cacc627af528bd4a35bab5816cdaaeb81d94caa3dbe798b309684050401,200,200,0.5,0.0,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],-0.0471,0.0215,0.0287,-0.0893,-0.0049,True,-0.0471,False,,0.0,0.0618,,0.0522,0.0,"[0.0522, 0, 0.0611, 0.0096]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,bfe03cacc627af528bd4a35bab5816cdaaeb81d94caa3dbe798b309684050401,200,200,0.5,0.0,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],-0.0471,0.0215,0.0287,-0.0893,-0.0049,True,-0.0471,False,,7.4915e-08,0.0618,,0.0522,5.6122e-15,"[0.0522, 7.4915e-08, 0.0618]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,a45f21be12ce312a264b1abb757873d721e16df2a110212538e655d67ef10b07,200,200,0.5,0.3,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],-0.0488,0.0215,0.0232,-0.091,-0.0067,True,-0.0488,False,,0.0,0.0608,,0.0505,0.0,"[0.0505, 0, 0.0541, 0.0276]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,a45f21be12ce312a264b1abb757873d721e16df2a110212538e655d67ef10b07,200,200,0.5,0.3,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],-0.0488,0.0215,0.0232,-0.091,-0.0067,True,-0.0488,False,,0.0,0.0608,,0.0505,0.0,"[0.0505, 0, 0.0608]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,e9fadc07c7e2b3a99747d858a5adba0435017ebb3cc866cb9374b0291cbfdc84,200,200,0.5,0.0,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],0.0554,0.022,0.0116,0.0124,0.0985,True,-0.04460000000000001,False,,0.0,0.0719,,0.0562,0.0,"[0.0562, 0, 0.0719, 0.0003]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,e9fadc07c7e2b3a99747d858a5adba0435017ebb3cc866cb9374b0291cbfdc84,200,200,0.5,0.0,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],0.0554,0.022,0.0116,0.0124,0.0985,True,-0.04460000000000001,False,,0.0,0.0719,,0.0563,0.0,"[0.0563, 0, 0.0719]","[0, 0, 0]",model_intercept_sd_zero,,True,1.0,0.0,True
6,92622006,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,bf41058040b1ad3855a35801499d1284225332ee28ea99fb416f349c9d84f0f9,200,200,0.5,0.3,-8.881784197001253e-17,0.8305308857540861,True,True,True,True,[],0.0574,0.022,0.0089,0.0144,0.1004,True,-0.042600000000000006,True,,0.0,0.0713,,0.0578,0.0,"[0.0578, 0, 0.0713, 0.0002]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,1.0,True
6,92622006,P7_D_EFFECT_RHO30,M2,0.1,0.3,100,400,40000,bf41058040b1ad3855a35801499d1284225332ee28ea99fb416f349c9d84f0f9,200,200,0.5,0.3,-8.881784197001253e-17,0.8305308857540861,True,True,True,False,[],0.0574,0.0219,0.0089,0.0144,0.1004,True,-0.042600000000000006,True,,0.0045,0.0712,,0.0578,0.0,"[0.0578, 0.0045, 0.0712]","[0, 0, 0]",non_singular,,True,1.0,1.0,False
7,92622007,P7_A_NULL_RHO0,M1,0.0,0.0,100,400,40000,3c1e0dabdc5806a63448ded0f8963001125fc4b648036c39980e47af85029740,200,200,0.5,0.0,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.0305,0.0234,0.1925,-0.0154,0.0764,False,0.0305,True,,0.0719,0.11,-0.9489,0.0473,0.0004,"[0.0473, 0.0719, -0.1044, 0.0347]","[0, 0, '-Inf', 0]",non_singular,,True,0.0,1.0,False
7,92622007,P7_A_NULL_RHO0,M2,0.0,0.0,100,400,40000,3c1e0dabdc5806a63448ded0f8963001125fc4b648036c39980e47af85029740,200,200,0.5,0.0,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.031,0.0212,0.1435,-0.0105,0.0724,False,0.031,True,,0.0169,0.0457,,0.0474,0.0003,"[0.0474, 0.0169, 0.0457]","[0, 0, 0]",non_singular,,True,0.0,1.0,False
7,92622007,P7_B_NULL_RHO30,M1,0.0,0.3,100,400,40000,037a5af815c5383b500ccc0ca58ff19755cf11792f373253a8e4498669f6c74c,200,200,0.5,0.3,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.0299,0.0233,0.2,-0.0158,0.0757,False,0.0299,True,,0.0719,0.1084,-0.9163,0.0439,0.0006,"[0.0439, 0.0719, -0.0994, 0.0434]","[0, 0, '-Inf', 0]",non_singular,,True,0.0,1.0,False
7,92622007,P7_B_NULL_RHO30,M2,0.0,0.3,100,400,40000,037a5af815c5383b500ccc0ca58ff19755cf11792f373253a8e4498669f6c74c,200,200,0.5,0.3,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.0303,0.0212,0.1525,-0.0112,0.0719,False,0.0303,True,,0.0228,0.0478,,0.0439,0.0005,"[0.0439, 0.0228, 0.0478]","[0, 0, 0]",non_singular,,True,0.0,1.0,False
7,92622007,P7_C_EFFECT_RHO0,M1,0.1,0.0,100,400,40000,14529517e38f80fcc0b24ec2e65ff80a71421c419ab2150cedb0d6d5775d70e6,200,200,0.5,0.0,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.1324,0.0238,2.501e-08,0.0858,0.1789,True,0.032399999999999984,True,,0.0716,0.1146,-0.9451,0.0112,0.0004,"[0.0112, 0.0716, -0.1083, 0.0374]","[0, 0, '-Inf', 0]",non_singular,,True,1.0,1.0,False
7,92622007,P7_C_EFFECT_RHO0,M2,0.1,0.0,100,400,40000,14529517e38f80fcc0b24ec2e65ff80a71421c419ab2150cedb0d6d5775d70e6,200,200,0.5,0.0,-1.2434497875801752e-15,0.8550903834691792,True,True,True,False,[],0.1328,0.0214,5.7554e-10,0.0908,0.1748,True,0.032799999999999996,True,,0.0132,0.0516,,0.011,0.0002,"[0.011, 0.0132, 0.0516]","[0, 0, 0]",non_singular,,True,1.0,1.0,False
7,92622007,P7_D_EFFECT_RHO30,M1,0.1,0.3,100,400,40000,bb9c08a6b11d777f1f4f1d2e0f99d3d9c47b738133bd13bc7f6a02d2f9e755f1,200,200,0.5,0.3,-1.2434497875801752e-15,0.8550903834691792,True,True,True,True,[],0.1313,0.0217,1.4683e-09,0.0887,0.1738,True,0.031299999999999994,True,,0.0,0.062,,0.013,0.0,"[0.013, 0, 0.0619, 0.0012]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,1.0,1.0,True
